Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-04 00:00:00-05:00,130.10134048912553,130.18903254892197,123.5144223383572,126.09657287597656,143301900,0.0,0.0
2021-01-05 00:00:00-05:00,125.58988695133853,128.36692121346996,125.1416582953915,127.65560150146484,97664900,0.0,0.0
2021-01-06 00:00:00-05:00,124.44986969207119,127.69461045301895,123.14417506694097,123.3585433959961,155088000,0.0,0.0
2021-01-07 00:00:00-05:00,125.07349552064068,128.25977522443756,124.58629742572825,127.56794738769531,109578200,0.0,0.0
2021-01-08 00:00:00-05:00,129.0392514479538,129.23414253685505,126.89558328296363,128.6689910888672,105158200,0.0,0.0
2021-01-11 00:00:00-05:00,125.88218854713082,126.8370922131897,125.20985310487029,125.67755889892578,100384500,0.0,0.0
2021-01-12 00:00:00-05:00,125.20989073972784,126.36942440251761,123.61188183396051,125.50221252441406,91951100,0.0,0.0
2021-01-13 00:00:00-05:00,125.4632504946733,128.08437867528625,125.20017422332937,127.5387191772461,88636800,0.0,0.0
2021-01-14 00:00:00-05:00,127.451013562091,127.64588980955337,125.46323718090288,125.60940551757812,90221800,0.0,0.0
2021-01-15 00:00:00-05:00,125.48270567821912,126.8858381851589,123.74828212605794,123.88469696044922,111598500,0.0,0.0
2021-01-19 00:00:00-05:00,124.50831458189415,125.4145105561259,123.68982554382202,124.55703735351562,90757300,0.0,0.0
2021-01-20 00:00:00-05:00,125.36578090905975,129.0977190154373,125.25859676461178,128.6494903564453,104319500,0.0,0.0
2021-01-21 00:00:00-05:00,130.37416729095122,136.09386615455463,130.16953762113462,133.3655548095703,120150900,0.0,0.0
2021-01-22 00:00:00-05:00,132.7906739013892,136.26927444924834,131.56294040290453,135.50924682617188,114459400,0.0,0.0
2021-01-25 00:00:00-05:00,139.40683420534555,141.37510329816405,133.04401504155618,139.2606658935547,157611700,0.0,0.0
2021-01-26 00:00:00-05:00,139.92327397986588,140.60534821810342,137.75036015705467,139.49453735351562,98390600,0.0,0.0
2021-01-27 00:00:00-05:00,139.75758597887605,140.60532045654497,136.81492129375977,138.42266845703125,140843800,0.0,0.0
2021-01-28 00:00:00-05:00,135.94771521998626,138.35447419549072,133.19991174456135,133.57992553710938,142621100,0.0,0.0
2021-01-29 00:00:00-05:00,132.3522064767238,133.2389103783543,126.8761058794983,128.581298828125,177523800,0.0,0.0
2021-02-01 00:00:00-05:00,130.32544580541983,131.91371580928939,127.57764235343213,130.70545959472656,106239800,0.0,0.0
2021-02-02 00:00:00-05:00,132.25476545115475,132.81991691760996,131.16344668453948,131.53372192382812,83305400,0.0,0.0
2021-02-03 00:00:00-05:00,132.28399787741546,132.29375135316877,130.18905238870838,130.51060485839844,89880900,0.0,0.0
2021-02-04 00:00:00-05:00,132.8101805826387,133.8820072844467,131.14395684543172,133.8722686767578,84183100,0.0,0.0
2021-02-05 00:00:00-05:00,134.033283551068,134.1015854508509,132.57925865202728,133.45751953125,75693800,0.205,0.0
2021-02-08 00:00:00-05:00,132.74511227281954,133.6526621426791,131.6619162354287,133.60386657714844,71297200,0.0,0.0
2021-02-09 00:00:00-05:00,133.32091738610043,134.55050063798447,132.56952194364052,132.72564697265625,76774200,0.0,0.0
2021-02-10 00:00:00-05:00,133.18424984227164,133.68194379137316,131.15447630613667,132.12057495117188,73046600,0.0,0.0
2021-02-11 00:00:00-05:00,132.61826227921486,133.09643505279266,130.53970793560018,131.8668670654297,64280000,0.0,0.0
2021-02-12 00:00:00-05:00,131.10571594692075,132.25721410503192,130.46165008374714,132.10107421875,60145100,0.0,0.0
2021-02-16 00:00:00-05:00,132.21817131917496,132.7256035555492,129.58335943579118,129.9737091064453,80576300,0.0,0.0
2021-02-17 00:00:00-05:00,128.08058387844284,129.02716157528442,126.3435683892599,127.68048095703125,97918500,0.0,0.0
2021-02-18 00:00:00-05:00,126.08008757945029,126.86077223279327,124.33331888275549,126.5777816772461,96856700,0.0,0.0
2021-02-19 00:00:00-05:00,127.09496971320031,127.55362134396646,125.6897404521568,126.73389434814453,87668800,0.0,0.0
2021-02-22 00:00:00-05:00,124.91880883902334,126.58752230648321,122.5670093965397,122.95735168457031,103916400,0.0,0.0
2021-02-23 00:00:00-05:00,120.77144442573531,123.65020481957035,115.53111655663116,122.82073211669922,158273000,0.0,0.0
2021-02-24 00:00:00-05:00,121.92294838417055,122.52797184498519,119.2783904200208,122.32304382324219,111039900,0.0,0.0
2021-02-25 00:00:00-05:00,121.66921718039119,123.40623239958438,117.62919084390654,118.06832122802734,148199500,0.0,0.0
2021-02-26 00:00:00-05:00,119.62969515081251,121.83512279314837,118.27326144324365,118.33181762695312,164560400,0.0,0.0
2021-03-01 00:00:00-05:00,120.76168897682948,124.84075076896436,119.82487191939815,124.70413208007812,116307900,0.0,0.0
2021-03-02 00:00:00-05:00,125.30915619930848,125.61166793035277,121.99125798161717,122.09860229492188,102260900,0.0,0.0
2021-03-03 00:00:00-05:00,121.79608068156783,122.67434893414126,118.89779917065528,119.11248779296875,112966300,0.0,0.0
2021-03-04 00:00:00-05:00,118.80998607618001,120.61531086428089,115.75557186593713,117.2291030883789,178155000,0.0,0.0
2021-03-05 00:00:00-05:00,118.05856814664855,118.99538509316949,114.7309095373517,118.4879379272461,153766600,0.0,0.0
2021-03-08 00:00:00-05:00,118.0097916939266,118.0781010413507,113.40376871001352,113.5501480102539,154376600,0.0,0.0
2021-03-09 00:00:00-05:00,116.15566368258474,119.1124940848032,115.92146128458052,118.1659164428711,129525800,0.0,0.0
2021-03-10 00:00:00-05:00,118.75141606508726,119.21982079190859,116.56550252272466,117.08271026611328,111943300,0.0,0.0
2021-03-11 00:00:00-05:00,119.58089611241735,120.23471511713066,118.33180683620104,119.01490020751953,103026500,0.0,0.0
2021-03-12 00:00:00-05:00,117.49259196824357,118.24399479427487,116.28253747320228,118.10737609863281,88105100,0.0,0.0
2021-03-15 00:00:00-04:00,118.47818777651618,121.00564073101157,117.51208899403603,120.99588012695312,92403800,0.0,0.0
2021-03-16 00:00:00-04:00,122.6646007020175,124.1478999993401,121.7082698545493,122.5377426147461,115227900,0.0,0.0
2021-03-17 00:00:00-04:00,121.05444515870833,122.82073491932013,119.38573166517871,121.74729919433594,111932600,0.0,0.0
2021-03-18 00:00:00-04:00,119.91270439580465,120.20546300637888,117.41452538083813,117.61945343017578,121229700,0.0,0.0
2021-03-19 00:00:00-04:00,117.00466041109058,118.49771283246503,116.78997177230154,117.09248352050781,185549500,0.0,0.0
2021-03-22 00:00:00-04:00,117.42427276940472,120.87878973760397,117.35596342731434,120.4103775024414,111912300,0.0,0.0
2021-03-23 00:00:00-04:00,120.35182605450146,121.23984748167706,119.19055981995824,119.58090209960938,95467100,0.0,0.0
2021-03-24 00:00:00-04:00,119.8541661293497,119.93223609168243,117.17057259674361,117.1900863647461,88530500,0.0,0.0
2021-03-25 00:00:00-04:00,116.65335360086424,118.72216260318802,116.12639260654137,117.67799377441406,98844700,0.0,0.0
2021-03-26 00:00:00-04:00,117.44378670396847,118.5465042288051,116.04831804624526,118.28302001953125,94071200,0.0,0.0
